1,Hostel 9,More than 15 years in the area of building market risk models for Capital Markets in investment banking.,HSBC,Global Head of Fixed Income Risk Modelling,2001,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Finance,2,0,1,0
2,Hostel 11,"HR, Talent Management, Diversity & Inclusion Humanities",Blue Star Ltd.,"Head - Talent Management, Diversity & Inclusion",2009,Doctor of Philosophy - Ph.D. / D.Phil.,India,Humanities & Social Science,Management,1,0,1,0
3,Hostel 8,Building products for large and mid sized organizations.,WorkSpan,"Director, Product Management",2000,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management,2,0,1,0
4,Hostel 9,Promoting and supporting entrepreneurship at IITB. Helping early stage entrepreneurs to get started on the right track.,IIT Bombay,"Head, Programs, DSSE",2004,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Other,4,0,1,0
5,Hostel 9,I am working with clients of Media and Telecom sector who are located across the globe.,Accenture Strategy,Management Consulting Analyst,2014,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management consulting,2,0,1,0
6,Hostel 2,Setting up student success and curriculum programs at Whitehat Jr (an ed-tech organization),Whitehat Jr.,AVP,2011,Dual Degree - B. Tech. & M. Tech.,India,Civil Engineering,Management,2,0,1,0
7,Hostel 8,"Analytics, Strategy, Startups, Digital Marketing, Business Modeling, Insurance, Automotive",CARS24,"Director, Business Insights & Strategy",2008,Bachelor of Technology - B.Tech.,India,Electrical Engineering,Analytics,3,0,1,0
8,Hostel 6,6.5 years of oil and gas field experience with Schlumberger; Management Consultant,McKinsey & Company,Associate,2011,Bachelor of Technology - B.Tech.,India,Civil Engineering,Management consulting,2,0,1,0
9,Hostel 4,"Management Strategy, Business Planning, Ion exchange Membrane Technolgy",Self Employed,Consultant,1972,Bachelor of Technology - B.Tech.,India,Chemical Engineering,Management consulting,2,0,1,0
10,Hostel 10,Research at the intersection of computer architecture and genomics.,Stanford University,PhD student,2017,Dual Degree - B. Tech. & M. Tech.,India,Electrical Engineering,Research,1,0,1,0
